,mid,original_title,homepage,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,genres_1,genres_2,genres_3,keywords_1,keywords_2,keywords_3
6,6,Quantum of Solace,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",107.928811,United Kingdom,2008-10-30,586090727,106.0,English,6.1,2965,Adventure,Action,Thriller,killing,undercover,secret agent
33,33,Evan Almighty,http://www.evanalmighty.com/,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,27.082182,United States of America,2007-06-09,173000000,96.0,English,5.3,1151,Fantasy,Comedy,Family,father son relationship,daily life,married couple
34,34,Inside Out,http://movies.disney.com/inside-out,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",128.655964,United States of America,2015-06-09,857611174,94.0,English,8.0,6560,Drama,Comedy,Animation,dream,cartoon,imaginary friend
66,66,Die Another Day,http://www.mgm.com/view/movie/232/Die-Another-Day/,"Bond takes on a North Korean leader who undergoes DNA replacement procedures that allow him to assume different identities. American agent, Jinx Johnson assists Bond in his attempt to thwart the villain's plans to exploit a satellite that is powered by solar energy.",54.159392,United Kingdom,2002-11-17,431971116,133.0,English,5.8,1092,Adventure,Action,Thriller,laser,british secret service,secret service agent
67,67,Armageddon,,"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise.",58.485967,United States of America,1998-07-01,553799566,151.0,English,6.4,2482,Action,Thriller,Science Fiction,saving the world,paris,moon
69,69,Beowulf,http://www.beowulfmovie.com/,"6th-century Scandinavian warrior, Beowulf embarks on a mission to slay the manlike ogre Grendel, a descendant of Cain.",35.601665,United States of America,2007-11-05,195735876,115.0,English,5.5,841,Adventure,Action,Animation,denmark,nordic mythology,lie
76,76,Sahara,,"Scouring the ocean depths for treasure-laden shipwrecks is business as usual for a thrill-seeking underwater adventurer and his wisecracking buddy. But when these two cross paths with a beautiful doctor, they find themselves on the ultimate treasure hunt.",21.605568,Germany,2005-04-06,119269486,124.0,English,5.7,434,Action,Adventure,Comedy,tyrant,ironclad ship,
77,77,The World Is Not Enough,http://www.mgm.com/view/movie/231/The-World-Is-Not-Enough/,"Greed, revenge, world dominance and high-tech terrorism – it's all in a day's work for Bond, who's on a mission to a protect beautiful oil heiress from a notorious terrorist. In a race against time that culminates in a dramatic submarine showdown, Bond works to defuse the international power struggle that has the world's oil supply hanging in the balance.",39.604363,United Kingdom,1999-11-08,361832400,128.0,English,6.0,862,Adventure,Action,Thriller,british,mission,oil
84,84,Home,http://www.meettheboov.com/,"When Earth is taken over by the overly-confident Boov, an alien race in search of a new place to call home, all humans are promptly relocated, while all Boov get busy reorganizing the planet. But when one resourceful girl, Tip, manages to avoid capture, she finds herself the accidental accomplice of a banished Boov named Oh. The two fugitives realize there’s a lot more at stake than intergalactic relations as they embark on the road trip of a lifetime.",63.473086,United States of America,2015-03-18,368871007,94.0,English,6.8,1519,Fantasy,Comedy,Animation,friendship,spaceship,space
97,97,Prometheus,http://www.projectprometheus.com/,"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.",68.889395,United Kingdom,2012-05-30,403170142,124.0,,6.3,5080,Science Fiction,Adventure,Mystery,android,dystopia,alien
98,98,Stuart Little 2,,"Stuart, an adorable white mouse, still lives happily with his adoptive family, the Littles, on the east side of Manhattan's Central Park. More crazy mouse adventures are in store as Stuart, his human brother, George, and their mischievous cat, Snowbell, set out to rescue a friend.",27.990284,United States of America,2002-07-19,169956806,78.0,English,5.4,613,Family,Adventure,Animation,mouse,falcon,bird
100,100,Knight and Day,http://www.knightanddaymovie.com,"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.",44.906918,United States of America,2010-06-15,261930431,109.0,English,5.9,1547,Action,Comedy,,spy,airport,gas station
107,107,Tomorrow Never Dies,http://www.mgm.com/view/movie/2029/Tomorrow-Never-Dies/,A deranged media mogul is staging international incidents to pit the world's superpowers against each other. Now 007 must take on this evil mastermind in an adrenaline-charged battle to end his reign of terror and prevent global pandemonium.,42.887121,United Kingdom,1997-12-11,333011068,119.0,Deutsch,6.0,925,Adventure,Action,Thriller,london england,england,spy
109,109,Gulliver's Travels,,"Travel writer Lemuel Gulliver takes an assignment in Bermuda, but ends up on the island of Liliput, where he towers over its tiny citizens.",22.845143,United States of America,2010-12-25,237382724,85.0,English,4.9,621,Comedy,,,journalist,forbidden love,princess
117,117,Stuart Little,,"The adventures of a heroic and debonair stalwart mouse named Stuart Little with human qualities, who faces some comic misadventures while searching for his lost bird friend and living with a human family as their child.",30.475297,Germany,1999-12-17,300135367,84.0,English,5.8,959,Animation,Fantasy,Family,brother brother relationship,based on novel,cat
120,120,Minority Report,,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",65.948959,United States of America,2002-06-20,358372926,145.0,English,7.1,2608,Action,Thriller,Science Fiction,self-fulfilling prophecy,washington d.c.,evidence
140,140,The Campaign,,Two rival politicians compete to win an election to represent their small North Carolina congressional district in the United States House of Representatives.,16.460356,United States of America,2012-08-09,104907746,85.0,English,5.6,578,Comedy,,,politics,politician,election campaign
142,142,Cinderella,http://movies.disney.com/cinderella,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her daughters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger in the woods.",101.187052,United Kingdom,2015-03-12,543514353,105.0,English,6.7,2374,Romance,Fantasy,Family,cinderella,magic,prince
150,150,The Alamo,,"Based on the 1836 standoff between a group of Texan and Tejano men, led by Davy Crockett and Jim Bowie, and Mexican dictator Santa Anna's forces at the Alamo in San Antonio, Texas.",10.660441,United States of America,2004-04-07,25819961,137.0,English,5.8,106,Western,History,War,texas,officer,uprising
154,154,What Lies Beneath,,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on.",15.835672,United States of America,2000-07-21,155464351,130.0,English,6.3,488,Drama,Horror,Mystery,secret,haunted house,ouija board
156,156,The Secret Life of Walter Mitty,,A timid magazine photo manager who lives life vicariously through daydreams embarks on a true-life adventure when a negative goes missing.,43.348022,United States of America,2013-12-18,188133322,114.0,English,7.0,3144,Adventure,Comedy,Drama,himalaya,photographer,magazine
160,160,Tropic Thunder,http://www.tropicthunder.com/,"Vietnam veteran 'Four Leaf' Tayback's memoir, Tropic Thunder, is being made into a film, but Director Damien Cockburn can’t control the cast of prima donnas. Behind schedule and over budget, Cockburn is ordered by a studio executive to get filming back on track, or risk its cancellation. On Tayback's advice, Cockburn drops the actors into the middle of the jungle to film the remaining scenes but, unbeknownst to the actors and production, the group have been dropped in the middle of the Golden Triangle, the home of heroin-producing gangs.",43.192048,United States of America,2008-08-09,188072649,107.0,English,6.5,1667,Action,Comedy,,film making,satire,jungle
161,161,The Girl with the Dragon Tattoo,http://dragontattoo.com/,"This English-language adaptation of the Swedish novel by Stieg Larsson follows a disgraced journalist, Mikael Blomkvist, as he investigates the disappearance of a weary patriarch's niece from 40 years ago. He is aided by the pierced, tattooed, punk computer hacker named Lisbeth Salander. As they work together in the investigation, Blomkvist and Salander uncover immense corruption beyond anything they have ever imagined.",47.651083,Norway,2011-12-14,232617430,158.0,English,7.2,2434,Thriller,Crime,Mystery,rape,journalist,based on novel
169,169,Lara Croft Tomb Raider: The Cradle of Life,,"Lara Croft ventures to an underwater temple in search of the mythological Pandora's Box but, after securing it, it is promptly stolen by the villainous leader of a Chinese crime syndicate. Lara must recover the box before the syndicate's evil mastermind uses it to construct a weapon of catastrophic capabilities.",56.811056,United States of America,2003-07-21,156505388,117.0,English,5.5,1418,Action,Adventure,Fantasy,riddle,treasure,medallion
174,174,Seabiscuit,http://www.seabiscuitmovie.com/,True story of the undersized Depression-era racehorse whose victories lifted not only the spirits of the team behind it but also those of their nation.,14.824166,United States of America,2003-07-22,148336445,141.0,English,6.7,216,Drama,History,,horse race,american dream,racehorse
181,181,Safe House,http://www.nooneissafe.com,"A dangerous CIA renegade resurfaces after a decade on the run. When the safe house he's remanded to is attacked by mercenaries, a rookie operative escapes with him. Now, the unlikely allies must stay alive long enough to uncover who wants them dead.",34.773106,United States of America,2012-02-09,208076205,115.0,English,6.3,1345,Action,Thriller,,cia,violence,safe house
