mid,original_title,homepage,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,genres_1,genres_2,genres_3,keywords_1,keywords_2,keywords_3
0,Avatar,http://www.avatarmovie.com/,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,United States of America,2009-12-10,2787965087,162.0,English,7.2,11800,Action,Adventure,Fantasy,culture clash,future,space war
1,Pirates of the Caribbean: At World's End,http://disney.go.com/disneypictures/pirates/,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,United States of America,2007-05-19,961000000,169.0,English,6.9,4500,Adventure,Fantasy,Action,ocean,drug abuse,exotic island
2,John Carter,http://movies.disney.com/john-carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,United States of America,2012-03-07,284139100,132.0,English,6.1,2124,Action,Adventure,Science Fiction,based on novel,mars,medallion
4,Tangled,http://disney.go.com/disneypictures/tangled/,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,United States of America,2010-11-24,591794936,100.0,English,7.4,3330,Animation,Family,,hostage,magic,horse
7,Pirates of the Caribbean: Dead Man's Chest,http://disney.go.com/disneypictures/pirates/,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,Jamaica,2006-06-20,1065659812,151.0,English,7.0,5246,Adventure,Fantasy,Action,witch,fortune teller,bondage
8,The Chronicles of Narnia: Prince Caspian,,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",53.978602,Czech Republic,2008-05-15,419651413,150.0,English,6.3,1630,Adventure,Family,Fantasy,based on novel,fictional place,brother sister relationship
9,Pirates of the Caribbean: On Stranger Tides,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",135.413856,United States of America,2011-05-14,1045713802,136.0,English,6.4,4948,Adventure,Action,Fantasy,sea,captain,mutiny
10,Robin Hood,http://www.robinhoodthemovie.com/,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",37.668301,United Kingdom,2010-05-12,310669540,140.0,English,6.2,1398,Action,Adventure,,robin hood,archer,knight
13,Alice in Wonderland,http://disney.go.com/wonderland/,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",78.530105,United States of America,2010-03-03,1025491110,108.0,English,6.4,4645,Family,Fantasy,Adventure,based on novel,fictional place,queen
14,X-Men: The Last Stand,,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",3.857526,Canada,2006-05-24,459359555,104.0,English,6.3,3525,Adventure,Action,Science Fiction,mutant,marvel comic,based on comic book
