mid,original_title,homepage,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,genres_1,genres_2,genres_3,keywords_1,keywords_2,keywords_3
3,Spider-Man 3,http://www.sonypictures.com/movies/spider-man3/,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.699814,United States of America,2007-05-01,890871626,139.0,English,5.9,3576,Fantasy,Action,Adventure,dual identity,amnesia,sandstorm
11,Skyfall,http://www.skyfall-movie.com,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",93.004993,United Kingdom,2012-10-25,1108561013,143.0,English,6.9,7604,Action,Adventure,Thriller,spy,secret agent,sociopath
12,Spider-Man 2,http://www.sonypictures.com/movies/spider-man2/,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",35.149586,United States of America,2004-06-25,783766341,127.0,English,6.7,4321,Action,Adventure,Fantasy,dual identity,love of one's life,pizza boy
25,Star Trek Beyond,http://www.startrekmovie.com/,"The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",65.352913,United States of America,2016-07-07,343471816,122.0,English,6.6,2568,Action,Adventure,Science Fiction,sequel,stranded,hatred
56,Angels & Demons,http://www.angelsanddemons.com/,"Harvard symbologist Robert Langdon investigates a mysterious symbol seared into the chest of a murdered physicist. He discovers evidence of the unimaginable, the rebirth of an ancient secret brotherhood known as the Illuminati, the most powerful underground organization ever to walk the earth.",67.447636,Italy,2009-05-13,356613439,138.0,English,6.5,2129,Thriller,Mystery,,rome,vatican,based on novel
63,Pan,,"Living a bleak existence at a London orphanage, 12-year-old Peter finds himself whisked away to the fantastical world of Neverland. Adventure awaits as he meets new friend James Hook and the warrior Tiger Lily. They must band together to save Neverland from the ruthless pirate Blackbeard. Along the way, the rebellious and mischievous boy discovers his true destiny, becoming the hero forever known as Peter Pan.",48.03528,United States of America,2015-09-24,128388320,111.0,English,5.9,954,Adventure,Family,Fantasy,flying,magic,fairy tale
70,Mission: Impossible - Ghost Protocol,http://www.missionimpossible.com/,"In the 4th installment of the Mission Impossible series, Ethan Hunt (Cruise) and his team are racing against time to track down a dangerous terrorist named Hendricks (Nyqvist), who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster.",77.77477,Czech Republic,2011-12-07,694713380,133.0,English,6.8,3972,Action,Thriller,Adventure,fight,sequel,mission
72,Spider-Man,http://www.sonypictures.com/movies/spider-man/,"After being bitten by a genetically altered spider, nerdy high school student Peter Parker is endowed with amazing powers.",82.502566,United States of America,2002-05-01,821708551,121.0,English,6.8,5265,Fantasy,Action,,loss of lover,spider,thanksgiving
74,Watchmen,https://www.warnerbros.com/watchmen,"In a gritty and alternate 1985 the glory days of costumed vigilantes have been brought to a close by a government crackdown, but after one of the masked veterans is brutally murdered an investigation into the killer is initiated. The reunited heroes set out to prevent their own destruction, but in doing so uncover a sinister plot that puts all of humanity in grave danger.",64.798873,United States of America,2009-03-05,185258983,163.0,English,7.0,2811,Action,Mystery,Science Fiction,dc comics,secret identity,mass murder
75,G.I. Joe: Retaliation,http://www.gijoemovie.com,"Framed for crimes against the country, the G.I. Joe team is terminated by Presidential order. This forces the G.I. Joes into not only fighting their mortal enemy Cobra; they are forced to contend with threats from within the government that jeopardize their very existence.",59.325589,United States of America,2013-03-26,371876278,110.0,English,5.4,3025,Adventure,Action,Science Fiction,terror,assassin,secret
