번호,제작연도,영화명,장르,감독,프로듀서,각본,캐스팅,크랭크인,크랭크업,제공,배급,제작사,개봉(예정),비고
1,2022,고속도로 가족,드라마,이상문,,이상문,"라미란 , 정일우 , 김슬기 , 백현진",2021-10-15,,,씨제이 씨지브이(CJ CGV)(주),"(주)영화사 설렘 , (주)고고스튜디오",2022-11-02,
2,2022,옆집사람,"스릴러,코미디",염지호,,염지호,"오동민 , 최희진 , 이정현",,,(주)디스테이션,(주)디스테이션,한국예술종합학교,2022-11-03,
3,2022,초선,다큐멘터리,전후석,,,,,,,커넥트픽쳐스(주),"디아스포라 필름 , 포핸즈스토리",2022-11-03,
4,2022,탑,드라마,홍상수,,홍상수,"권해효 , 이혜영 , 송선미 , 조윤희 , 박미소 , 신석호",,,,"(주)영화제작전원사 , (주)콘텐츠판다",(주)영화제작전원사,2022-11-03,
5,2021,같은 속옷을 입는 두 여자,드라마,김세인,장지원,김세인,"임지호 , 양말복 , 양흥주 , 정보람",,,,찬란,한국영화아카데미,2022-11-10,
6,2021,첫번째 아이,드라마,허정재,,허정재,"박하선 , 오동민 , 오민애 , 공성하 , 허수민 , 임형국",,,,(주)더쿱디스트리뷰션,화원,2022-11-10,
7,2021,데시벨,액션,황인호,"김용선 , 조윤미","황인호 , 이진훈","김래원 , 김동훈 , 이종석 , 정상훈 , 박병은 , 이상희 , 조달환 , 이민기 , 김동연 , 차은우",2021-04-20,,"(주)바이포엠스튜디오 , 이스트드림시노펙스(주) , (주)마인드마크",(주)마인드마크,"이스트드림시노펙스(주) , ㈜기억속의매미",2022-11-16,
8,2022,동감,멜로/로맨스,서은영,심문보,서은영,"여진구 , 조이현 , 김혜윤 , 나인우 , 배인혁",2022-05,,(주)바이포엠스튜디오,씨제이 씨지브이(CJ CGV)(주),(주)고고스튜디오,2022-11-16,영화 '동감' 김정권 감독
9,2021,심야카페: 미씽 허니,"멜로/로맨스,판타지",정윤수,,,"채서진 , 이이경 , 박건일 , 신주환 , 정영주 , 문숙 , 조유하",2021-09-23,2021-10-22,,(주)영화특별시에스엠씨,(주)케이드래곤,2022-11-17,원작 웹드라마 [심야카페]
10,2020,트랜스,"SF,스릴러,판타지,미스터리",도내리,,,,,,,(주)마노엔터테인먼트,네거티브 필름 프로덕션즈,2022-11-17,
11,2021,올빼미,스릴러,안태진,,,"류준열 , 유해진 , 최무성 , 조성하 , 박명훈 , 김성철 , 안은진 , 조윤서",,,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),"(주)씨제스엔터테인먼트 , (주)영화사 담담",2022-11-23,
12,2021,우수,기타,오세현,,,,,,,㈜인디스토리,(주)률필름,2022-11-24,
13,2020,창밖은 겨울,"드라마,멜로/로맨스",이상진,서채훈,이상진,"곽민규 , 한선화 , 목규리",,,끼리끼리 필름,(주)영화사 진진,끼리끼리 필름,2022-11-24,
14,2021,강남좀비,드라마,이수성,,,"지일주 , 지연",2021-12-10,,(주)제이앤씨미디어그룹,"와이드 릴리즈(주) , (주)제이앤씨미디어그룹",㈜리필름,2022-11-30,
15,2021,탄생,드라마,박흥식,,박흥식,"윤시윤 , 안성기 , 윤경호 , 이문식 , 이경영 , 신정근 , 이호원 , 송지연 , 최무성 , 백지원 , 하경 , 성혁 , 임현수 , 남다름 , 김광규 , 박지훈 , 정유미 , 차청화 , 강말금 , 이준혁 , 김강우",2021-12-06,2022-04-13,,씨제이 씨지브이(CJ CGV)(주),민영화사,2022-11-30,
16,2022,모자산책,드라마,조성규,,,"윤예희 , 이성종 , 김혜나 , 이주실 , 김다현 , 정연주",,,,하준사,(주)와우,2022-11,
17,2022,압꾸정,"코미디,드라마",임진순,,,"마동석 , 정경호 , 오나라 , 최병모 , 오연서",2020-08-18,2020-11-20,(주)쇼박스,(주)쇼박스,"주식회사 빅펀치픽쳐스 , (주)홍필름 , (주)비에이엔터테인먼트",2022-11,
18,2021,영화감독 노동주,다큐멘터리,임찬익,,,,,,,(주)드림팩트엔터테인먼트,(주)미학인우주선,2022-11-30,
19,2022,통영에서의 하루,드라마,한경탁,,,"유인영 , 이미도 , 박정철 , 신현탁",,,,주식회사 블루필름웍스,투영필름,2022-11,
20,2022,고고다이노 극장판: 얼음공룡의 비밀,애니메이션,이선명,"주영진 , 김원호",,"이민규 , 전태열 , 김은아 , 엄상현 , 성완경 , 신용우 , 홍범기 , 김율 , 남도형 , 김명준 , 천지선 , 김채하 , 이영아 , 최향윤",,,,"(주)넥스트엔터테인먼트월드(NEW) , (주)블루라벨픽쳐스",(주)모꼬지,2022-10-05,
21,2020,선데이리그,코미디,이성일,홍성훈,이성일,이성욱,,,,아이 엠,선데이시네마,2022-10-05,
22,2022,컴백홈,"드라마,코미디",이연우,,,"송새벽 , 라미란 , 이범수 , 이경영 , 오대환",2021-04-11,,(주)제이앤씨미디어그룹,(주)제이앤씨미디어그룹,"(주)슬기로운늑대 , (유)조이앤시네마",2022-10-05,
23,2020,거래완료,드라마,조경호,,조경호,"전석호 , 태인호 , 조성하 , 이원종 , 김민엽 , 임승민 , 최예빈 , 최희진 , 채서은 , 이규현 , 엄서현 , 이교형 , 권일",,,,(주)스튜디오디에이치엘,한국예술종합학교 산학협력단,2022-10-06,
24,2022,극장판 검정고무신 : 즐거운 나의 집,애니메이션,"송정율 , 송요한",,,,,,,"(주)대교 미디어콘텐츠사업본부 , (주)블루라벨픽쳐스","㈜형설앤 , ㈜새한프로덕션",2022-10-06,
25,2021,애프터 미투,다큐멘터리,"박소현 , 이솜이 , 강유가람 , 김소람",,,,,,,(주)영화사 그램,애프터 미투 프로젝트 팀,2022-10-06,"A.K.A. 여고괴담,100. 나는 몸과 마음이 건강해졌다, 이후의 시간, 그레이 섹스"
26,2020,태안,다큐멘터리,구자환,,,,,,,레드무비,레드무비,2022-10-06,
