,mid,original_title,homepage,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,genres_1,genres_2,genres_3,keywords_1,keywords_2,keywords_3
2,2,John Carter,http://movies.disney.com/john-carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,United States of America,2012-03-07,284139100,132.0,English,6.1,2124,Action,Adventure,Science Fiction,based on novel,mars,medallion
3,3,Spider-Man 3,http://www.sonypictures.com/movies/spider-man3/,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.699814,United States of America,2007-05-01,890871626,139.0,English,5.9,3576,Fantasy,Action,Adventure,dual identity,amnesia,sandstorm
5,5,Superman Returns,http://www.superman.com,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",57.925623,United States of America,2006-06-28,391081192,154.0,English,5.4,1400,Adventure,Fantasy,Action,saving the world,dc comics,invulnerability
6,6,Quantum of Solace,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",107.928811,United Kingdom,2008-10-30,586090727,106.0,English,6.1,2965,Adventure,Action,Thriller,killing,undercover,secret agent
17,17,Green Lantern,http://greenlanternmovie.warnerbros.com/,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",51.872839,United States of America,2011-06-16,219851172,114.0,English,5.1,2487,Adventure,Action,Thriller,dc comics,transformation,superhero
19,19,Terminator Salvation,https://www.warnerbros.com/terminator-salvation,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.",71.862892,Germany,2009-05-20,371353001,115.0,English,5.9,2463,Action,Science Fiction,Thriller,saving the world,artificial intelligence,prophecy
22,22,Indiana Jones and the Kingdom of the Crystal Skull,http://www.indianajones.com/site/index.html,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",75.674458,United States of America,2008-05-21,786636033,122.0,English,5.7,2495,Adventure,Action,,saving the world,riddle,whip
26,26,2012,http://www.sonypictures.com/movies/2012,"Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world.",45.274225,Canada,2009-10-10,769653595,158.0,English,5.6,4903,Action,Adventure,Science Fiction,civilization,natural disaster,end of the world
27,27,Jupiter Ascending,http://www.jupiterascending.com,"In a universe where human genetic material is the most precious commodity, an impoverished young Earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty…",85.36908,United States of America,2015-02-04,183987723,124.0,English,5.2,2768,Science Fiction,Fantasy,Action,jupiter,space,woman director
31,31,Hugo,http://www.hugomovie.com/,"Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.",32.319043,France,2011-11-22,185770160,126.0,English,7.0,2141,Adventure,Drama,Family,library,clock,film director
32,32,Wild Wild West,,Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,40.748915,United States of America,1999-06-29,222104681,106.0,English,5.1,1020,Action,Adventure,Comedy,steampunk,based on tv series,steam locomotive
33,33,Evan Almighty,http://www.evanalmighty.com/,God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.,27.082182,United States of America,2007-06-09,173000000,96.0,English,5.3,1151,Fantasy,Comedy,Family,father son relationship,daily life,married couple
37,37,The Lovers,,"The Lovers is an epic romance time travel adventure film. Helmed by Roland Joffé from a story by Ajey Jhankar, the film is a sweeping tale of an impossible love set against the backdrop of the first Anglo-Maratha war across two time periods and continents and centred around four characters — a British officer in 18th century colonial India, the Indian woman he falls deeply in love with, an American present-day marine biologist and his wife.",2.418535,Australia,2015-02-13,0,109.0,English,4.8,34,Action,Adventure,Science Fiction,,,
