mid,netflix,amazon_prime,disney_plus,hulu,original_title,homepage,overview,popularity,production_countries,release_date,revenue,runtime,spoken_languages,vote_average,vote_count,genres_1,genres_2,genres_3,keywords_1,keywords_2,keywords_3
0,0,0,1,0,Avatar,http://www.avatarmovie.com/,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",150.437577,United States of America,2009-12-10,2787965087,162.0,English,7.2,11800,Action,Adventure,Fantasy,culture clash,future,space war
1,0,0,1,0,Pirates of the Caribbean: At World's End,http://disney.go.com/disneypictures/pirates/,"Captain Barbossa, long believed to be dead, has come back to life and is headed to the edge of the Earth with Will Turner and Elizabeth Swann. But nothing is quite as it seems.",139.082615,United States of America,2007-05-19,961000000,169.0,English,6.9,4500,Adventure,Fantasy,Action,ocean,drug abuse,exotic island
2,1,0,1,0,John Carter,http://movies.disney.com/john-carter,"John Carter is a war-weary, former military captain who's inexplicably transported to the mysterious and exotic planet of Barsoom (Mars) and reluctantly becomes embroiled in an epic conflict. It's a world on the brink of collapse, and Carter rediscovers his humanity when he realizes the survival of Barsoom and its people rests in his hands.",43.926995,United States of America,2012-03-07,284139100,132.0,English,6.1,2124,Action,Adventure,Science Fiction,based on novel,mars,medallion
3,1,0,0,1,Spider-Man 3,http://www.sonypictures.com/movies/spider-man3/,"The seemingly invincible Spider-Man goes up against an all-new crop of villain – including the shape-shifting Sandman. While Spider-Man’s superpowers are altered by an alien organism, his alter ego, Peter Parker, deals with nemesis Eddie Brock and also gets caught up in a love triangle.",115.699814,United States of America,2007-05-01,890871626,139.0,English,5.9,3576,Fantasy,Action,Adventure,dual identity,amnesia,sandstorm
4,0,0,1,0,Tangled,http://disney.go.com/disneypictures/tangled/,"When the kingdom's most wanted-and most charming-bandit Flynn Rider hides out in a mysterious tower, he's taken hostage by Rapunzel, a beautiful and feisty tower-bound teen with 70 feet of magical, golden hair. Flynn's curious captor, who's looking for her ticket out of the tower where she's been locked away for years, strikes a deal with the handsome thief and the unlikely duo sets off on an action-packed escapade, complete with a super-cop horse, an over-protective chameleon and a gruff gang of pub thugs.",48.681969,United States of America,2010-11-24,591794936,100.0,English,7.4,3330,Animation,Family,,hostage,magic,horse
5,1,0,0,0,Superman Returns,http://www.superman.com,"Superman returns to discover his 5-year absence has allowed Lex Luthor to walk free, and that those he was closest too felt abandoned and have moved on. Luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the Man of Steel.",57.925623,United States of America,2006-06-28,391081192,154.0,English,5.4,1400,Adventure,Fantasy,Action,saving the world,dc comics,invulnerability
6,1,1,0,0,Quantum of Solace,http://www.mgm.com/view/movie/234/Quantum-of-Solace/,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",107.928811,United Kingdom,2008-10-30,586090727,106.0,English,6.1,2965,Adventure,Action,Thriller,killing,undercover,secret agent
7,0,0,1,0,Pirates of the Caribbean: Dead Man's Chest,http://disney.go.com/disneypictures/pirates/,"Captain Jack Sparrow works his way out of a blood debt with the ghostly Davey Jones, he also attempts to avoid eternal damnation.",145.847379,Jamaica,2006-06-20,1065659812,151.0,English,7.0,5246,Adventure,Fantasy,Action,witch,fortune teller,bondage
8,0,0,1,0,The Chronicles of Narnia: Prince Caspian,,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",53.978602,Czech Republic,2008-05-15,419651413,150.0,English,6.3,1630,Adventure,Family,Fantasy,based on novel,fictional place,brother sister relationship
9,0,0,1,0,Pirates of the Caribbean: On Stranger Tides,http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",135.413856,United States of America,2011-05-14,1045713802,136.0,English,6.4,4948,Adventure,Action,Fantasy,sea,captain,mutiny
10,0,0,1,0,Robin Hood,http://www.robinhoodthemovie.com/,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",37.668301,United Kingdom,2010-05-12,310669540,140.0,English,6.2,1398,Action,Adventure,,robin hood,archer,knight
11,0,0,0,1,Skyfall,http://www.skyfall-movie.com,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",93.004993,United Kingdom,2012-10-25,1108561013,143.0,English,6.9,7604,Action,Adventure,Thriller,spy,secret agent,sociopath
12,0,0,0,1,Spider-Man 2,http://www.sonypictures.com/movies/spider-man2/,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",35.149586,United States of America,2004-06-25,783766341,127.0,English,6.7,4321,Action,Adventure,Fantasy,dual identity,love of one's life,pizza boy
13,0,0,1,0,Alice in Wonderland,http://disney.go.com/wonderland/,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",78.530105,United States of America,2010-03-03,1025491110,108.0,English,6.4,4645,Family,Fantasy,Adventure,based on novel,fictional place,queen
14,0,0,1,0,X-Men: The Last Stand,,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",3.857526,Canada,2006-05-24,459359555,104.0,English,6.3,3525,Adventure,Action,Science Fiction,mutant,marvel comic,based on comic book
15,0,0,1,0,Monsters University,,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,89.186492,United States of America,2013-06-20,743559607,104.0,English,7.0,3528,Animation,Family,,monster,dormitory,games
16,0,0,1,0,Cars 2,http://www.disney.go.com/cars/,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,49.98659,United States of America,2011-06-11,559852396,106.0,English,5.8,2033,Animation,Family,Adventure,car race,sequel,comedy
